IMIĘ_PIERWSZE,LICZBA_WYSTĄPIEŃ
VALIANTSINA,425
VITALIIA,424
VALERIA,423
CHIARA,420
NINO,418
JASMINE,417
KSYMENA,417
ISMENA,417
FLORIANNA,414
ANDŻELINA,411
EMILIIA,410
JELENA,409
ZEFIRYNA,407
KONSTANTYNA,400
EUZEBIA,400
MARGARET,400
CHRISTINA,399
ULYANA,399
BETINA,398
KAMILIA,398
KAROLA,398
JESICA,395
LAURENCJA,394
IANA,394
SYLWINA,393
ZBIGNIEWA,392
TINA,392
ZOYA,390
GAIA,390
FELICYTA,387
MATILDA,386
KLOTYLDA,386
IWETTA,385
LUNA,385
DEBORA,384
SAMIRA,383
ISABELLE,383
HIACYNTA,383
AMY,382
LUDOMIŁA,382
ANDRIANA,380
JOHANNA,380
MARIJA,378
GRACJA,374
STEPHANIE,372
OXANA,372
MICHAL,371
AIDA,370
AŁŁA,370
IWETA,369
RUT,367
YARYNA,367
IRENE,363
YULIA,363
CHLOE,362
PAOLA,362
ISABEL,362
YELIZAVETA,360
FRANCESCA,360
NELLI,360
YAUHENIYA,359
RACHELA,357
ANNE,354
NICOLETTA,354
LILLI,354
NADINE,353
LESYA,352
MARY,352
ZYGFRYDA,348
AMELIE,347
LUCY,345
THI,345
HILARIA,344
TADEUSZA,344
ARIANNA,344
ŻANNA,343
FRIEDA,343
JULIE,340
RACHEL,339
EMILIE,335
KESJA,334
ROZA,332
HILDEGARD,332
MIRONA,331
ANDRZELIKA,330
ELIZAVETA,326
NATALYA,325
KRYSPINA,323
SOFIJA,323
LUISA,322
NADIEŻDA,322
INGRYDA,322
ROSA,318
ANIA,318
LUBOMIŁA,316
LUDMILA,314
ELIANA,314
YASMIN,313
LARISSA,310
WALTRAUD,310
LEOPOLDA,310
DORIS,309
CARLA,308
SHARON,308
ELENI,307
LEYLA,305
VLADA,303
WALTRAUT,303
INESA,301
ASTRID,300
BOGDA,297
URSULA,295
NASTIA,294
CAMILLA,294
SONJA,293
MEGAN,292
ADI,292
RENA,291
VIVIENNE,290
MADINA,289
ORYSIA,289
YULIANA,289
ERWINA,288
KRYSTIANA,285
NASTAZJA,285
SUSANNE,284
LORENA,283
MIKA,283
ELIGIA,281
ALESSANDRA,281
ARLENA,281
CORNELIA,280
ALODIA,280
HELEN,279
EDITH,278
KATIA,278
AISHA,277
MARGOTA,276
AMIRA,276
PETRA,275
MALIKA,274
ANJA,274
SWITŁANA,273
EDELTRAUD,272
LUCJANA,271
ARYNA,270
INGEBORG,270
EDWINA,269
DOLORES,269
KARMEN,269
LYDIA,268
ANATOLIA,268
INHA,267
